2026-07-09 09:20:08,273 | INFO | Execution time of test_delete_repo is: 0.00 seconds
2026-07-09 09:20:08,276 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/ref/heads/main 
2026-07-09 09:20:08,895 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/ref/heads/main: 200
2026-07-09 09:20:08,901 | INFO | Execution time of test_get_last_commit is: 0.63 seconds
2026-07-09 09:20:08,903 | INFO | Request: POST https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/refs 
2026-07-09 09:20:10,234 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/refs: 422
2026-07-09 09:20:10,386 | INFO | Execution time of test_create_branch is: 1.48 seconds
2026-07-09 09:20:10,389 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1/branches 
2026-07-09 09:20:11,252 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/branches: 200
2026-07-09 09:20:11,257 | INFO | Execution time of test_get_branches is: 0.87 seconds
2026-07-09 09:26:22,952 | INFO | Request: GET https://api.github.com/user 
2026-07-09 09:26:23,482 | INFO | Response of https://api.github.com/user: 200
2026-07-09 09:26:23,486 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1/branches 
2026-07-09 09:26:23,960 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/branches: 200
2026-07-09 09:26:23,963 | INFO | Execution time of test_get_branches is: 0.48 seconds
2026-07-09 09:26:58,061 | INFO | Request: GET https://api.github.com/user 
2026-07-09 09:26:58,631 | INFO | Response of https://api.github.com/user: 200
2026-07-09 09:26:58,638 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1/branches 
2026-07-09 09:26:59,125 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/branches: 200
2026-07-09 09:26:59,129 | INFO | Execution time of test_get_branches is: 0.49 seconds
2026-07-09 09:27:48,311 | INFO | Request: GET https://api.github.com/user 
2026-07-09 09:27:48,847 | INFO | Response of https://api.github.com/user: 200
2026-07-09 09:27:48,852 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1/branches 
2026-07-09 09:27:49,404 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/branches: 200
2026-07-09 09:27:49,423 | INFO | Execution time of test_get_branches is: 0.57 seconds
2026-07-09 09:28:53,331 | INFO | Request: GET https://api.github.com/user 
2026-07-09 09:28:54,012 | INFO | Response of https://api.github.com/user: 200
2026-07-09 09:28:54,019 | INFO | Execution time of test_create_repo is: 0.00 seconds
2026-07-09 09:28:54,021 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1 
2026-07-09 09:28:54,469 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1: 200
2026-07-09 09:28:54,474 | INFO | Execution time of test_read_repo is: 0.45 seconds
2026-07-09 09:28:54,477 | INFO | Request: PATCH https://api.github.com/repos/Narsimha91/pytest-api-demo-2 
2026-07-09 09:28:55,101 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-2: 200
2026-07-09 09:28:55,108 | INFO | Execution time of test_update_repo is: 0.63 seconds
2026-07-09 09:28:55,112 | INFO | Execution time of test_delete_repo is: 0.00 seconds
2026-07-09 09:28:55,113 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/ref/heads/main 
2026-07-09 09:28:55,620 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/ref/heads/main: 200
2026-07-09 09:28:55,626 | INFO | Execution time of test_get_last_commit is: 0.51 seconds
2026-07-09 09:28:55,628 | INFO | Request: POST https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/refs 
2026-07-09 09:28:56,272 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/git/refs: 422
2026-07-09 09:28:56,431 | INFO | Execution time of test_create_branch is: 0.80 seconds
2026-07-09 09:28:56,433 | INFO | Request: GET https://api.github.com/repos/Narsimha91/pytest-api-demo-1/branches 
2026-07-09 09:28:56,878 | INFO | Response of https://api.github.com/repos/Narsimha91/pytest-api-demo-1/branches: 200
